ADDRESS,YEAR BUILT, SALE PRICE 
30 BAY 10TH STREET,1930,0
58 BAY 10TH STREET,1930,"925,000"
43 BAY 10TH STREET,1930,"1,275,000"
43 BAY 11TH STREET,1901,"825,000"
1730 86TH STREET,1926,"1,505,000"
1732 86TH STREET,1926,"1,650,000"
1948 86TH STREET,1931,0
60 BAY 23RD STREET,1925,"925,000"
121 BAY 7TH STREET,1940,"950,000"
1725 BATH AVENUE,1920,"990,000"
111 BAY 23RD STREET,1899,0
94 BAY 25TH STREET,1915,0
102 BAY 25TH STREET,1915,"680,000"
123 BAY 25TH STREET,1920,0
2113 BATH AVENUE,1930,"765,000"
228 BAY 11TH STREET,1925,"850,000"
1633 CROPSEY AVENUE,1930,"900,000"
1628 BATH AVENUE,1910,"999,000"
1628B BATH AVENUE,1910,"820,000"
202 BAY 14TH STREET,1910,"900,000"
2024 BATH AVENUE,1925,"1,200,000"
217 BAY 26TH STREET,1955,"620,000"
217 BAY 26TH STREET,1955,"992,000"
265 BAY 8TH STREET,2001,0
283 BAY 10TH STREET,1955,0
8876 16TH AVENUE,1950,"800,000"
259 BAY 14TH STREET,1930,0
296 BAY 14TH STREET,1950,"800,000"
298 BAY 14TH STREET,1950,"650,000"
8893 16TH AVENUE,1940,"1,190,000"
250 BAY 13TH STREET,1945,0
8896 18TH AVENUE,1950,0
270 BAY 22ND STREET,1940,"975,000"
244 BAY 23RD STREET,1945,0
8657 14TH AVENUE,1930,0
78 BAY 7TH STREET,1930,"200,000"
82 BAY 7TH STREET,1930,"180,000"
51 BAY 7 STREET,1930,"1,300,000"
1444 86TH ST,1931,0
32 BAY 8TH STREET,1930,0
70 BAY 8TH STREET,1930,0
75 BAY 8TH STREET,1930,0
35 BAY 8TH STREET,1930,"1,538,000"
11 BAY 8TH STREET,1930,"1,520,000"
1509 BENSON AVE,1945,0
44 BAY 10TH STREET,1930,0
66 BAY 10TH STREET,1930,0
8617 16TH AVE,1930,"999,000"
28 BAY 13TH STREET,1920,"1,720,000"
40 BAY 13TH STREET,1901,0
24 BAY 14TH STREET,1930,"1,268,000"
52 BAY 14TH STREET,1901,0
37 BAY 14TH STREET,1955,0
8607 18TH AVENUE,1908,0
40 BAY 19TH STREET,1930,"1,150,800"
98 BAY 19TH STREET,1920,0
102 BAY 19TH STREET,1935,0
87 BAY 23RD STREET,1955,"1,825,000"
8640 20TH AVENUE,1920,"1,500,000"
60 BAY 25TH STREET,1920,"1,999,999"
64 BAY 28TH STREET,1899,"1,800,000"
8634 BAY PARKWAY,1960,"1,650,000"
1419 BATH AVE,1920,10
8739 14TH AVENUE,1950,"1,180,000"
8729 14TH AVENUE,1950,"1,300,000"
137 BAY 7TH STREET,1945,"1,170,000"
108 BAY 8 STREET,1930,"1,250,000"
115 BAY 8TH STREET,1940,"1,420,000"
111 BAY 8TH STREET,1940,"1,420,000"
8724 15TH AVENUE,1940,0
8744 15TH AVENUE,1920,"888,000"
8748 15TH AVENUE,1920,"1,162,500"
1503 BATH AVENUE,1920,"890,000"
8725 15 AVE,1940,"1,330,000"
8697 15TH AVENUE,1940,0
149 BAY 10TH STREET,1925,"1,130,000"
139 BAY 10TH STREET,1925,0
139 BAY 10TH STREET,1925,"1,350,000"
121 BAY 10TH STREET,1935,0
116 BAY 11TH STREET,1925,0
103 BAY 11TH STREET,1955,0
1556 BENSON AVENUE,1930,0
8738 16TH AVENUE,1960,"660,000"
8748 16TH AVENUE,1960,0
1601 BATH AVE,1925,0
8745 16TH AVENUE,1925,"900,000"
8709 16TH AVENUE,1925,"1,300,000"
1622 BENSON AVENUE,1910,"980,000"
122 BAY 14TH STREET,1925,0
124 BAY 22ND STREET,1955,0
127 BAY 23RD STREET,1920,0
8720 20TH AVENUE,1899,0
8735 20 AVE,1950,0
124 BAY 29 STREET,1910,"1,250,000"
1409 CROPSEY AVENUE,1935,0
8831 14TH AVENUE,1935,0
8829 14TH AVENUE,1935,"990,000"
195 BAY 7TH STREET,1955,"1,600,000"
185 BAY 7TH STREET,1955,0
181 BAY 7TH STREET,1955,"1,270,000"
8795 15TH AVENUE,1920,0
227 BAY 10TH STREET,1920,0
209 BAY 10TH STREET,1920,"1,050,000"
216 BAY 11TH STREET,1925,"990,000"
220 BAY 11 STREET,1925,0
8796 16TH AVENUE,1920,0
8824 16 AVENUE,1960,"1,580,000"
186 BAY 14TH STREET,1899,0
226 BAY 14TH STREET,1920,"900,000"
1645 CROPSEY AVENUE,1930,0
1711 CROPSEY AVENUE,1920,"720,000"
1706 BATH AVE,1920,"1,135,000"
1810 BATH AVENUE,1920,"900,000"
1858 BATH AVENUE,1920,"1,140,000"
210 BAY 23RD STREET,1901,0
181 BAY 25TH STREET,1925,"1,400,000"
2034 BATH AVENUE,1925,0
207 BAY 29TH STREET,1945,0
309 BAY 11TH STREET,1950,"1,249,000"
8876 17TH AVENUE,1955,"1,100,000"
8853 17TH AVENUE,1960,"486,406"
8838 BAY 16TH STREET,1960,"1,193,000"
